ville_id;nom;latitude;longitude;latitude2;longitude2
1;Le Mont Saint Michel;48.6355232;-1.5102571;48.6355232;-1.5102571
2;Saint Malo;48.6495180;-2.0260409;48.649518;-2.0260409
3;Bayeux;49.2764624;-0.7024738;49.2764624;-0.7024738
4;Le Havre;49.4938975;0.1079732;49.4938975;0.1079732
5;Rouen;49.4404591;1.0939658;49.4404591;1.0939658
6;Paris;48.8534951;2.3483915;48.8534951;2.3483915
7;Amiens;49.8941708;2.2956951;49.8941708;2.2956951
8;Lille;50.6365654;3.0635282;50.6365654;3.0635282
9;Strasbourg;48.5846140;7.7507127;48.584614;7.7507127
10;Chateau-du-Haut-Koenigsbourg;48.2495226;7.3454923;48.2495226;7.3454923
11;Colmar;48.0777517;7.3579641;48.0777517;7.3579641
12;Eguisheim;48.0447968;7.3079618;48.0447968;7.3079618
13;Besancon;47.2380222;6.0243622;47.2380222;6.0243622
14;Dijon;47.3215806;5.0414701;47.3215806;5.0414701
15;Annecy;45.8992348;6.1288847;45.8992348;6.1288847
16;Grenoble;45.1875602;5.7357819;45.1875602;5.7357819
17;Lyon;45.7578137;4.8320114;45.7578137;4.8320114
18;La palud sur Verdon;43.7796864;6.3413854;43.7796864;6.3413854
19;Bormes-les-Mimosas;43.1506968;6.3419285;43.1506968;6.3419285
20;Cassis;43.2140359;5.5396318;43.2140359;5.5396318
21;Marseille;43.2961743;5.3699525;43.2961743;5.3699525
22;Aix-en-Provence;43.5298424;5.4474738;43.5298424;5.4474738
23;Avignon;43.9492493;4.8059012;43.9492493;4.8059012
24;Uzes;44.0121279;4.4196718;44.0121279;4.4196718
25;Nimes;43.8374249;4.3600687;43.8374249;4.3600687
26;Aigues-Mortes;43.5661521;4.1915400;43.5661521;4.19154
27;Saintes-Maries-de-la-mer;43.4515922;4.4277202;43.4515922;4.4277202
28;Collioure;42.5250500;3.0831554;42.52505;3.0831554
29;Carcassonne;43.2130358;2.3491069;43.2130358;2.3491069
30;Foix;42.9638998;1.6053807;42.9638998;1.6053807
31;Toulouse;43.6044638;1.4442433;43.6044638;1.4442433
32;Montauban;44.0175835;1.3549991;44.0175835;1.3549991
33;Biarritz;43.4832523;-1.5592776;43.4832523;-1.5592776
34;Bayonne;43.4945144;-1.4736657;43.4945144;-1.4736657
35;La Rochelle;46.1597320;-1.1515951;46.159732;-1.1515951
